month,total_cases,total_deaths,Cases Growth %,Deaths Growth %
2020-01,0.0,0.0,0.0,0.0
2020-02,1.0,0.0,inf,0.0
2020-03,656.0,41.0,65500.0,inf
2020-04,5268.0,380.0,703.048780487805,826.8292682926829
2020-05,23449.0,913.0,345.12148823082765,140.26315789473682
2020-06,66754.0,2872.0,184.67738496311142,214.56736035049286
2020-07,93757.0,4774.0,40.451508523833766,66.22562674094708
2020-08,98727.0,5399.0,5.300937529997762,13.091746962714712
2020-09,103079.0,5914.0,4.408115307869176,9.538803482126323
2020-10,107385.0,6258.0,4.177378515507524,5.81670612106866
2020-11,115541.0,6636.0,7.595101736741627,6.040268456375841
2020-12,136644.0,7576.0,18.264512164513036,14.165159734779987
2021-01,165418.0,9263.0,21.05763882790317,22.267687434002113
2021-02,181829.0,10639.0,9.92092758950054,14.85479866134083
2021-03,201432.0,11956.0,10.781008529992464,12.378982987122855
2021-04,226531.0,13278.0,12.460284363954099,11.057209769153564
2021-05,261666.0,15047.0,15.51001849636473,13.322789576743489
2021-06,281031.0,16148.0,7.400655797849165,7.317073170731714
2021-07,284215.0,16518.0,1.1329710957154182,2.291305424820411
2021-08,288162.0,16727.0,1.388737399503892,1.2652863542801818
2021-09,303783.0,17294.0,5.42090907198034,3.3897291803670626
2021-10,330084.0,18592.0,8.657824828907469,7.505493234647864
2021-11,357629.0,20412.0,8.34484555446493,9.789156626506035
2021-12,384728.0,21727.0,7.577405635449019,6.442288849696265
2022-01,423688.0,22604.0,10.126634921295041,4.036452340405949
2022-02,482248.0,24040.0,13.821491286040665,6.352857901256415
2022-03,505264.0,24417.0,4.772648098074028,1.568219633943424
2022-04,513790.0,24641.0,1.6874346876088575,0.9173936191997356
2022-05,513944.0,24718.0,0.029973335409416713,0.3124873178848242
2022-06,514088.0,24723.0,0.028018616814273756,0.020228173800473925
2022-07,514891.0,24775.0,0.15619893870311152,0.21033046151357482
2022-08,515308.0,24794.0,0.08098801493907626,0.07669021190717107
2022-09,515371.0,24797.0,0.012225698029144638,0.012099701540702057
2022-10,515406.0,24798.0,0.006791224186075695,0.004032745896687118
2022-11,515442.0,24798.0,0.006984784810426525,0.0
2022-12,515533.0,24802.0,0.017654750680007325,0.01613033309137979
2023-01,515635.0,24806.0,0.019785348367618028,0.016127731634552056
2023-02,515759.0,24812.0,0.02404801846267457,0.024187696525035385
2023-03,515882.0,24821.0,0.02384834777482414,0.03627277123972039
2023-04,516023.0,24830.0,0.027331831697940956,0.036259618871126165
2023-05,516023.0,24830.0,0.0,0.0
2023-06,516023.0,24830.0,0.0,0.0
2023-07,516023.0,24830.0,0.0,0.0
2023-08,516023.0,24830.0,0.0,0.0
2023-09,516023.0,24830.0,0.0,0.0
2023-10,516023.0,24830.0,0.0,0.0
2023-11,516023.0,24830.0,0.0,0.0
2023-12,516023.0,24830.0,0.0,0.0
2024-01,516023.0,24830.0,0.0,0.0
2024-02,516023.0,24830.0,0.0,0.0
2024-03,516023.0,24830.0,0.0,0.0
2024-04,516023.0,24830.0,0.0,0.0
2024-05,516023.0,24830.0,0.0,0.0
2024-06,516023.0,24830.0,0.0,0.0
2024-07,516023.0,24830.0,0.0,0.0
2024-08,516023.0,24830.0,0.0,0.0
2024-09,516023.0,24830.0,0.0,0.0
2024-10,516023.0,24830.0,0.0,0.0
2024-11,516023.0,24830.0,0.0,0.0
2024-12,516023.0,24830.0,0.0,0.0
2025-01,516023.0,24830.0,0.0,0.0
2025-02,516023.0,24830.0,0.0,0.0
2025-03,516023.0,24830.0,0.0,0.0
2025-04,516023.0,24830.0,0.0,0.0
2025-05,516023.0,24830.0,0.0,0.0
2025-06,516023.0,24830.0,0.0,0.0
2025-07,0.0,0.0,-100.0,-100.0
2025-08,0.0,0.0,0.0,0.0
2025-09,0.0,0.0,0.0,0.0
2025-10,0.0,0.0,0.0,0.0
2025-11,0.0,0.0,0.0,0.0
2025-12,0.0,0.0,0.0,0.0
